player_id,playerName,numPasses
21528,Federico Ceccherini,1255
4278,Borja Garc\u00eda Freire,1253
25649,Yann M'Vila,1249
49856,David \u00c1ngel Abraham,1249
256478,Danilo Cataldi,1247
14852,Sergio Escudero Palomo,1247
4272,Joaqu\u00edn Navarro Jim\u00e9nez,1245
8561,Mark Noble,1244
20465,Stephan Lichtsteiner,1244
4360,Juan Pedro Ram\u00edrez L\u00f3pez,1244
116,Georginio Wijnaldum,1243
14989,Daniel Caligiuri,1241
7967,Jonjo Shelvey,1240
28314,Christopher H\u00e9relle,1239
301013,J\u00e9r\u00e9my Gelin,1237
26265,Vincent Manceau,1237
14938,Maximilian Arnold,1237
56026,Jens Stryger Larsen,1236
366581,,1235
15125,Marvin Plattenhardt,1235
15069,Willi Orban,1234
3916,Gustavo Daniel Cabral C\u00e1ceres,1234
209028,Adrien Thomasson,1232
8192,Martin Olsson,1231
229427,Alexander Djiku,1230
14869,Sead Kola\u0161inac,1229
25537,Grzegorz Krychowiak,1228
22380,Marco Benassi,1228
7918,Phil Jones,1219
26021,Simon Falette,1219
89186,Paulo Bruno Exequiel Dybala,1217
248950,Samir Caetano de Souza Santos,1215
25786,Daniel Congr\u00e9,1214
20928,Felipe Dias da Silva dal Belo,1212
235606,Thilo Kehrer,1211
20529,Andrea Poli,1208
25622,Thorgan Hazard,1205
21291,Valter Birsa,1204
70451,Luis Carlos Correia Pinto,1202
50805,Filip Helander,1201
14724,David Olatukunbo Alaba,1199
394,Bram Nuytinck,1197
3840,Iago Aspas Juncal,1197
21842,Cristiano Biraghi,1196
51004,Celso Borges Mora,1196
54380,Ole Kristian Seln\u00e6s,1195
26150,Riyad Mahrez,1194
20561,Senad Luli\u0107,1192
21164,Federico Fern\u00e1ndez,1191
302518,Lewis Cook,1185
21077,Alejandro Dar\u00edo G\u00f3mez,1185
8148,Iago Falqu\u00e9 Silva,1182
20941,Adem Ljaji\u0107,1181
14732,Thomas M\u00fcller,1178
3571,Joaqu\u00edn S\u00e1nchez Rodr\u00edguez,1178
289711,Naby Deco Ke\u00efta,1177
51217,Hans Carl Ludwig Augustinsson,1177
86828,Guido Hern\u00e1n Pizarro,1177
3828,Ra\u00fal Rodr\u00edguez Navas,1177
25715,Ronny Rodelin,1176
286380,Issa Diop,1172
14754,Christian Gentner,1172
224677,Julian Weigl,1172
41174,Manuel Lanzini,1171
15430,Nicolas H\u00f6fler,1168
383,Du\u0161an Tadi\u0107,1166
334720,Ramy Bensebaini,1166
15524,Hakan \u00c7alhano\u011flu,1166
8313,Pablo Javier Zabaleta Girod,1163
26384,Ga\u00ebl Kakuta,1163
16303,Danny Latza,1163
3304,Jos\u00e9 Ignacio Fern\u00e1ndez Iglesias,1161
16025,Max Kruse,1159
146583,Julian Brandt,1157
7972,Luis Alberto Su\u00e1rez D\u00edaz,1157
70965,Jo\u00e3o M\u00e1rio Naval da Costa Eduardo,1154
15526,Pascal Gro\u00df,1154
29474,Romain Thomas,1153
16110,Kevin Kampl,1150
70083,Danilo Luiz da Silva,1149
263432,Francesco Vicari,1148
7906,Juan Manuel Mata Garc\u00eda,1147
14749,Gotoku Sakai,1146
8833,Jamal Lascelles,1144
25942,Gilbert Gianelli Imbula Wanga,1144
230020,Alex Iwobi,1144
61988,Steven Davis,1142
216074,Christian G\u00fcnter,1141
74,Ragnar Klavan,1140
274344,Baptiste Santamaria,1140
288091,Marco Asensio Willemsen,1140
3680,David Zurutuza Veillet,1138
20518,Juan Guilherme Nunes Jesus,1137
269060,Pedro Pablo Hern\u00e1ndez,1137
280419,Hans Hateboer,1136
3797,V\u00edctor S\u00e1nchez Mata,1136
272434,Waldemar Anton,1135
255387,Carlos Joel Salcedo Hern\u00e1ndez,1132
28922,Thomas Lemar,1129
3692,Bernardo Jos\u00e9 Espinosa Z\u00fa\u00f1iga,1127
279545,Lucas  Hern\u00e1ndez Pi,1127
25957,Abdul Khaled Akiola Ad\u00e9non,1125
40657,Wendell Nascimento Borges,1123
21639,Luca Ceppitelli,1123
247207,Joan Jord\u00e1n Moreno,1122
144884,Christopher Jullien,1120
7934,Jesse Lingard,1120
15808,Roberto Firmino Barbosa de Oliveira,1119
28335,Ruben Aguilar,1118
120717,Oussama Haddadi,1118
413737,Santiago Lionel Ascac\u00edbar,1118
122,Dries Mertens,1118
28115,Nabil Fekir,1117
20475,Arturo Erasmo Vidal Pardo,1117
3974,Dami\u00e1n Nicol\u00e1s Su\u00e1rez Su\u00e1rez,1117
3416,Javier Mart\u00ednez Aginaga,1116
20932,Matija Nastasi\u0107,1116
15256,Pirmin Schwegler,1115
265172,Anton\u00edn Bar\u00e1k,1113
22163,Simone Missiroli,1113
228980,,1112
14943,Mario Mand\u017euki\u0107,1112
289359,Youssef A\u00eft Bennasser,1111
159,Jeffrey Gouweleeuw,1111
393214,Valentin Rosier,1110
22695,Benito Nicolas Viola,1110
7919,Michael Keane,1108
8351,Andrew Surman,1107
116269,Diego Sebasti\u00e1n Laxalt Su\u00e1rez,1106
20588,Kwadwo Asamoah,1106
26314,Lucas Deaux,1105
3282,Sergio Canales Madrazo,1105
255738,Jefferson Andr\u00e9s Lerma Sol\u00eds,1103
3414,Ander Iturraspe Derteano,1099
86220,Gabriel Iv\u00e1n Mercado,1089
26086,,1087
118,Memphis Depay,1087
5400,Gerard Moreno Balaguero,1086
20436,Jos\u00e9 \u00c1ngel Vald\u00e9s D\u00edaz,1086
8143,Morgan Schneiderlin,1085
20911,Pasquale Schiattarella,1084
26365,Baptiste Reynet,1083
214628,Jordan Amavi,1082
14905,Per Ciljan Skjelbred,1082
14857,Kyriakos Papadopoulos,1080
279734,Vincent Koziello,1079
28908,Fr\u00e9d\u00e9ric Guilbert,1078
82518,Vladim\u00edr Darida,1078
20707,Sebastien De Maio,1078
82340,Theodor Gebre Selassie,1075
226200,Manuel Lazzari,1075
135114,Pierre-Emile H\u00f8jbjerg,1073
15188,Julian Baumgartlinger,1073
14801,Neven Suboti\u0107,1072
49855,Yann Sommer,1072
25883,J\u00e9r\u00e9my Sorbon,1071
3314,\u00c1ngel Fabi\u00e1n di Mar\u00eda Hern\u00e1ndez,1071
344864,Caglar S\u00f6y\u00fcnc\u00fc,1070
8285,Jake Livermore,1069
20653,Perparim Hetemaj,1069
3970,Alejandro G\u00e1lvez Jimena,1068
14863,Marco H\u00f6ger,1067
3434,Filipe Luis Kasmirski,1066
28291,,1065
25743,Bouna Sarr,1065
21100,Angelo Obinze Ogbonna,1065
14800,Marcel Schmelzer,1065
14979,Oliver Baumann,1064
15014,Oscar Wendt,1062
25643,K\u00e9vin Th\u00e9ophile Catherine,1061
4094,Ander Capa Rodr\u00edguez,1061
235450,Abdou Diallo,1060
86366,Jos\u00e9 Luis Palomino,1060
241945,Pione Sisto Ifolo Emirmija,1059
143566,Douglas dos Santos Justino de Melo,1056
29588,Ernest Seka,1054
3320,Nuri \u015eahin,1053
20748,Nenad Tomovi\u0107,1053
21123,Simone Verdi,1053
9433,James  Tarkowski,1051
3429,Thibaut Courtois,1051
214710,Bakaye Dibassy,1050
7929,Tom Cleverley,1048
7914,Jonny Evans,1047
8944,Ben Mee,1044
105333,Willian Borges da Silva,1044
86183,Facundo Sebasti\u00e1n Roncaglia,1040
20429,Nicol\u00e1s Andr\u00e9s Burdisso,1040
245364,Leroy San\u00e9,1039
8623,James McArthur,1038
26134,,1037
344178,Panagiotis Retsos,1037
346101,Trent Alexander-Arnold,1036
173212,Niklas Stark,1036
